Name,Type,Status,Link,Priority,Assigned,Introdution,Video Overview,Prototype,Spec,Red Line layout,Examples,"Accesibility "
"Global Left rail ",Widget Navigation,In Progress,,,,Not started,,,,,,
Sub Navigation,"Surface Modal ",In Progress,https://www.notion.so/ts-design/MO-6-Sub-Navigation-modal-pending-e560e961f77b436cbf69751c31b43dd1?pvs=4,,Kaushik Panchal,Not started,,,,,,
Object PIcker,Widget Input/Edit,In Progress,https://www.notion.so/ts-design/Object-picker-2cefddbc8f7f41dcb1b0682bcdf9eccf?pvs=4,,,Not started,,,,,,
Share Object,Widget Core Patterns,In Progress,,,,Not started,,,,,,
"Data Table ",Widget View,In Progress,,,,Not started,,,,,,
Global Navigation,Widget Navigation,In Progress,,,Kaushik Panchal,Not started,,,,,,
Cards,Widget View,Not Started,,,,Not started,,,,,,
Browse Surface,Surface Page,Not Started,https://www.notion.so/ts-design/Browse-surface-page-7a244d98f4c74652952e3d7efc2d761b?pvs=4,P0,,Not started,,,,,,
Edit Surface,Surface Page,Not Started,https://www.notion.so/ts-design/Edit-surface-page-8f54a6a350ce4c6b883ebb2ffe838649?pvs=4,,,Not started,,,,,,
Download / Export,Widget Core Patterns,Not Started,,,,Not started,,,"Review ",,,
Request Data,Widget Core Patterns,Not Started,,,,Not started,,,,,,
"View Surface ",Surface Page,Not Started,https://www.notion.so/ts-design/View-Surface-page-f4cc9db2252f42d6bc7a1ff743527b8b?pvs=4,,,Not started,,,,,,
Wizard Surface,Surface Page,Not Started,https://www.notion.so/ts-design/Wizard-Surface-Page-de47cb09303a41f594e7a918220b4766?pvs=4,P0,,Not started,,,,,,
Text Layout,Widget View,Not Started,,,,Not started,,,,,,
Wizard,"Surface Modal ",Review,https://www.notion.so/ts-design/MO-3-Wizard-dialog-7c31cc0672084c31b1e441bf6f4c167c?pvs=4,,,Not started,,,"Review ",,,
Multi Object LIst picker,Widget Input/Edit,Review,https://www.notion.so/ts-design/Multi-object-list-picker-6300d9b231f74c03a121b5fff91477ad?pvs=4,,,Not started,,,"Review ",,,
Object Table,Widget Input/Edit,Review,https://www.notion.so/ts-design/Object-Table-1d09c32ec56d4ea4b497f070b8628a6a?pvs=4,P0,Kaushik Panchal,Not started,,,"Review ",,,
Rolling Date picker,Widget Input/Edit,Review,https://www.notion.so/ts-design/Rolling-Date-picker-f89d6d8f40a9466aa094d136d1f560c2?pvs=4,,,Not started,,,"Review ",,,
Three Dot menu,Widget Core Patterns,Review,,,Irene Ren,Not started,,,"Review ",,,
Sign up,Widget Core Patterns,Review,,,Irene Ren,Not started,,,"Review ",,,
"Simple ","Surface Modal ",Review,https://www.notion.so/ts-design/MO-1-Simple-dialog-9255cef2e95b40ea8820b32b668e6172?pvs=4,,,Not started,,,"Review ",,,
Sub- Task,"Surface Modal ",Review,https://www.notion.so/ts-design/MO-2-Sub-task-dialog-578549b1337645c887f6443f8494d307?pvs=4,,,Not started,,,"Review ",,,
Splash screen,"Surface Modal ",Review,https://www.notion.so/ts-design/MO-4-Splash-screen-dialog-19a767187ce94f7990240d77ed0bf19e?pvs=4,,,Not started,,,"Review ",,,
"Text fields ",Widget Input/Edit,Review,https://www.notion.so/ts-design/Text-fields-20a3f89080654ef6b89921913d41cb6a?pvs=4,,,Not started,,,"Review ",,,
Date Picker,Widget Input/Edit,Review,https://www.notion.so/ts-design/Date-picker-8a61b87147ab4be19895061df8a74993?pvs=4,,,Not started,,,"Review ",,,
"Information ","Surface Modal ",Review,https://www.notion.so/ts-design/MO-5-Information-dialog-a8e813287dc24886be832fe425ea508d?pvs=4,,,Not started,,,"Review ",,,
Single Object List picker,Widget Input/Edit,Review,https://www.notion.so/ts-design/Single-object-list-picker-73f9b6bb465f43fb979d70d6727bebfb?pvs=4,,,Not started,,,"Review ",,,
Toasts,Widget Alerts,Review,,,Irene Ren,Not started,,,"Review ",,,
Delete Object,Widget Core Patterns,Review,,,Kaushik Panchal,Not started,,,"Review ",,,
Banners,Widget Alerts,Review,,,Irene Ren,Not started,,,"Review ",,,
Frequency Picker,Widget Input/Edit,Review,https://www.notion.so/ts-design/Frequency-Picker-f4e7e520807d4ac9a9ab06d799f2c786?pvs=4,,,Not started,,,"Review ",,,
Spotlight cards,"Widget Assistance ",Review,https://www.notion.so/ts-design/Spotlight-cards-60cd4244c4b54691834cc87fae853cd1?pvs=4,,Irene Ren,Not started,,,"Review ",,,
Section Alerts,Widget Alerts,Review,,,Irene Ren,Not started,,,"Review ",,,
Tool Tips,"Widget Assistance ",Review,https://www.notion.so/ts-design/Tool-Tips-b4bf8e9607244514bf729ea603de2d9a?pvs=4,,Irene Ren,Not started,,,"Review ",,,
Explainer Cards,"Widget Assistance ",Review,https://www.notion.so/ts-design/Explainer-Cards-5e5773c849e34c7ba9653c1aba8d5916?pvs=4,,Irene Ren,Not started,,,"Review ",,,
Muted Alerts,Widget Alerts,Review,,,Irene Ren,Not started,,,"Review ",,,
