Name,"Accesibility ",Assigned,Examples,Introdution,Link,Priority,Prototype,Red Line layout,Spec,Status,Type,Video Overview
Muted Alerts,,Irene Ren,,Not started,,,,,"Review ",Review,Widget Alerts,
Explainer Cards,,Irene Ren,,Not started,https://www.notion.so/ts-design/Explainer-Cards-5e5773c849e34c7ba9653c1aba8d5916?pvs=4,,,,"Review ",Review,"Widget Assistance ",
Section Alerts,,Irene Ren,,Not started,,,,,"Review ",Review,Widget Alerts,
Tool Tips,,Irene Ren,,Not started,https://www.notion.so/ts-design/Tool-Tips-b4bf8e9607244514bf729ea603de2d9a?pvs=4,,,,"Review ",Review,"Widget Assistance ",
Spotlight cards,,Irene Ren,,Not started,https://www.notion.so/ts-design/Spotlight-cards-60cd4244c4b54691834cc87fae853cd1?pvs=4,,,,"Review ",Review,"Widget Assistance ",
Text Layout,,,,Not started,,,,,,Not Started,Widget View,
Wizard Surface,,,,Not started,https://www.notion.so/ts-design/Wizard-Surface-Page-de47cb09303a41f594e7a918220b4766?pvs=4,P0,,,,Not Started,Surface Page,
"View Surface ",,,,Not started,https://www.notion.so/ts-design/View-Surface-page-f4cc9db2252f42d6bc7a1ff743527b8b?pvs=4,,,,,Not Started,Surface Page,
Frequency Picker,,,,Not started,https://www.notion.so/ts-design/Frequency-Picker-f4e7e520807d4ac9a9ab06d799f2c786?pvs=4,,,,"Review ",Review,Widget Input/Edit,
"Data Table ",,,,Not started,,,,,,In Progress,Widget View,
Global Navigation,,Kaushik Panchal,,Not started,,,,,,In Progress,Widget Navigation,
Delete Object,,Kaushik Panchal,,Not started,,,,,"Review ",Review,Widget Core Patterns,
Banners,,Irene Ren,,Not started,,,,,"Review ",Review,Widget Alerts,
Object PIcker,,,,Not started,https://www.notion.so/ts-design/Object-picker-2cefddbc8f7f41dcb1b0682bcdf9eccf?pvs=4,,,,,In Progress,Widget Input/Edit,
Request Data,,,,Not started,,,,,,Not Started,Widget Core Patterns,
Share Object,,,,Not started,,,,,,In Progress,Widget Core Patterns,
Single Object List picker,,,,Not started,https://www.notion.so/ts-design/Single-object-list-picker-73f9b6bb465f43fb979d70d6727bebfb?pvs=4,,,,"Review ",Review,Widget Input/Edit,
Toasts,,Irene Ren,,Not started,,,,,"Review ",Review,Widget Alerts,
Download / Export,,,,Not started,,,,,"Review ",Not Started,Widget Core Patterns,
"Information ",,,,Not started,https://www.notion.so/ts-design/MO-5-Information-dialog-a8e813287dc24886be832fe425ea508d?pvs=4,,,,"Review ",Review,"Surface Modal ",
Edit Surface,,,,Not started,https://www.notion.so/ts-design/Edit-surface-page-8f54a6a350ce4c6b883ebb2ffe838649?pvs=4,,,,,Not Started,Surface Page,
Date Picker,,,,Not started,https://www.notion.so/ts-design/Date-picker-8a61b87147ab4be19895061df8a74993?pvs=4,,,,"Review ",Review,Widget Input/Edit,
Browse Surface,,,,Not started,https://www.notion.so/ts-design/Browse-surface-page-7a244d98f4c74652952e3d7efc2d761b?pvs=4,P0,,,,Not Started,Surface Page,
"Text fields ",,,,Not started,https://www.notion.so/ts-design/Text-fields-20a3f89080654ef6b89921913d41cb6a?pvs=4,,,,"Review ",Review,Widget Input/Edit,
Sub Navigation,,Kaushik Panchal,,Not started,https://www.notion.so/ts-design/MO-6-Sub-Navigation-modal-pending-e560e961f77b436cbf69751c31b43dd1?pvs=4,,,,,In Progress,"Surface Modal ",
Splash screen,,,,Not started,https://www.notion.so/ts-design/MO-4-Splash-screen-dialog-19a767187ce94f7990240d77ed0bf19e?pvs=4,,,,"Review ",Review,"Surface Modal ",
Sub- Task,,,,Not started,https://www.notion.so/ts-design/MO-2-Sub-task-dialog-578549b1337645c887f6443f8494d307?pvs=4,,,,"Review ",Review,"Surface Modal ",
Cards,,,,Not started,,,,,,Not Started,Widget View,
Sign up,,Irene Ren,,Not started,,,,,"Review ",Review,Widget Core Patterns,
"Simple ",,,,Not started,https://www.notion.so/ts-design/MO-1-Simple-dialog-9255cef2e95b40ea8820b32b668e6172?pvs=4,,,,"Review ",Review,"Surface Modal ",
Three Dot menu,,Irene Ren,,Not started,,,,,"Review ",Review,Widget Core Patterns,
"Global Left rail ",,,,Not started,,,,,,In Progress,Widget Navigation,
Rolling Date picker,,,,Not started,https://www.notion.so/ts-design/Rolling-Date-picker-f89d6d8f40a9466aa094d136d1f560c2?pvs=4,,,,"Review ",Review,Widget Input/Edit,
Object Table,,Kaushik Panchal,,Not started,https://www.notion.so/ts-design/Object-Table-1d09c32ec56d4ea4b497f070b8628a6a?pvs=4,P0,,,"Review ",Review,Widget Input/Edit,
Multi Object LIst picker,,,,Not started,https://www.notion.so/ts-design/Multi-object-list-picker-6300d9b231f74c03a121b5fff91477ad?pvs=4,,,,"Review ",Review,Widget Input/Edit,
Wizard,,,,Not started,https://www.notion.so/ts-design/MO-3-Wizard-dialog-7c31cc0672084c31b1e441bf6f4c167c?pvs=4,,,,"Review ",Review,"Surface Modal ",
