Object,Number,Name,Description,Dynamic Behavior,Default State,Error State,Content Rules
OL.0 Object List,1,Search bar,The search field allows the user to search for specific objects in all the objects in the object list.,"Entering a search query will refresh the object list with objects that match the search query term. 

The object list will refresh dynamically as the user enters their search query.

The search behavior is based on the current data set (filtering, sorting rule).",The search field would be empty,"If there are no object results for a search query, the object list should show an empty state graphic.",N/A
OL.0 Object List,2,Global actions,"Actions that influence the whole table list, like ""Create new"", ""import"" etc.",Global action could open a dialog box or a window etc. It depends on the use case,"In default state, Global action button is in unselected state, it is a secondary button (grey color).",N/A,N/A
OL.0 Object List,3,Select all checkbox,"The select all check box allows the user to multi-select all the object items in the list. ","On clicking the check box all the checkboxes next to object items will be selected. 
Once all items have been selected, clicking again will unselect all items. 

If the user has selected one or more individual object select boxes then the select all check box will show a partially selected state. 
If the user clicks this state all the items that are currently selected will be unselected.","By default, this check box will be unselected.",N/A,N/A
OL.0 Object List,4,Column sort/filter headers,"Column sort headers allow users to reorder an object list.

These are accessed by clicking on the column header.

The headers also has a grey 20 hover state. On hover the cursor changes to a hand to denote click-ability.

https://www.loom.com/share/15ebd8bdb3084863961121ca8f337fd8?sid=aa057ef6-e22d-4bc7-b386-9ba430421402 for hover state.","Clicking on the column header will open the menu, users can choose to filter or sort.

Clicking on the Filter will open the filter modal dialog box.

Clicking on the Sort will resort to the object list according to the column type. I.e chronologically, alphabetically, low to high. 

Once clicked the Sort ascending or Sort descending will display an up or down arrow to denote both that this is the column that the object list is sorted by and also the direction of the sort order.

Object%20Table%20309374cae3fa8113b439c8bb096e0478.md",The default state is determined by the needs of the project.,N/A,N/A
OL.0 Object List,5,Single object checkbox,This check box allows the user to select a row in the object list and apply an action to it.,"Clicking the check box selects the row, clicking again will unselect the row. 

Multiple checkboxes can be selected at the same time.

The check box can also be unselected if the user clicks the select all check box at the top left of the object list.

All selection are effected on the current page, if users change to other pages, it won’t count 2 pages selections. 

Object%20Table%20309374cae3fa8113b439c8bb096e0478.mdObject%20Table%20309374cae3fa8113b439c8bb096e0478.md","By default, the check box will be unselected.",N/A,N/A
OL.0 Object List,6,Primary Object Name column link,The object name column is the primary column in an about table. It has a specific width and can display up to two lines of text.,Clicking on the object name link will refresh the page and display the object page.,N/A,N/A,N/A
OL.0 Object List,7,Secondary Column Content types,The secondary columns display a variable amount of meta-information about specific object types in the primary column,"These columns will have have variable widths. They will evenly space between the Primary column and the action column. 

Use an en dash (---) to represent null or not applicable (N/A) values.",N/A,N/A,N/A
OL.0 Object List,8,Action column link & LIMS,"The action column allows the user to apply actions to a specific row in the object list. The actions are always right aligned.

Actions include but not limited to: Favourite, Share, Edit, Duplicate, Export, Delete etc.","IF there are one or two actions then that will be represented as a blue link/s.

IF there are three or more actions then all the action links are placed in the elipse menu that is a drop down style menu, which gets activated once the user clicks over the menu icon.",N/A,N/A,N/A
OL.0 Object List,9,Object row,The Object Table supports two distinct modes for editing the objects represented in the list. One of the modes allows the user to act on a single object while the second allows them to operate on two of more objects at a time.,"A single object is selected in one of two ways: (1) clicking on its associated checkbox, or (2) clicking anywhere in its row outside of the target area of the links associated with the object’s name, author, or tags. 

The default line height is 72px. When there are 3 lines, change to 80px.

Selected state: Object%20Table%20309374cae3fa8113b439c8bb096e0478.md",Unselected,N/A,"Truncate header text when it's longer than 2 lines with ""..."". Hover over on the truncated text display tooltip for full text. 

Truncate description text when it's longer than 1 line with ""...More"". Click on ""...More"", and expand the whole row to display the full content (Full header, description, tags.) To get back to the default state the user would need to refresh the browser window."
OL.0 Object List,10,Pagination,Pagination lets a user navigate data as pages when the amount of data it too large to be shown at once.,"Wrap the pagination number after 9,999, using the current number-wrapping logic. (Example: 8.15M.)
Show the total result number, if it makes sense in context. This step is optional.

If it's less than 20 rows, don't need to display pagination.",20 rows per page displayed.,N/A,N/A
