Name,Content Rules,Default State,Description,Dynamic Behavior,Error State,Number,Object,Type
Year field,,Current year,Scrollable-dropdown field that will have year to choose from,"Can have any of the below values
2019
2020
2021
2022
2023
and so on...",NA - It will always have a value,6,DP.0 Date picker,
Fixed condition field,,Between,Dropdown field that has multiple values to choose the condition,"Can have any of the below values
1.Between
2.On
3.Not on
4.After
5.On or after
6.Before
7.On or before",NA - It will always have a value,1,DP.0 Date picker,
,,,,,,5,BN.0 Alert Banner,
,,,,,,3,TO. Toasts,
"multi object picker list ",,,Specs for https://www.notion.so/309374cae3fa81868cc0cb7295bd910d?pvs=21,,,1,OL.3 Object List Sort & Filter modals,Widget
Time Dropdown,N/A,By default the time picker will be set to 10:00 AM and set to the user’s cluster timezone.,This dropdown allows the user to select a specific time when the frequency should be triggered.,"If the freqency dropdown (2) selection is “hour” the time dropdown (3) is removed from the widget. 
Values : “10:00”, “10:30”, “11:00” and so on...
TBD/Depends on product context",N/A,3,FP.0 Frequency picker,
Single Checkbox,TBD,"By default, the check box will be unselected.",This check box allows the user to select an object next to it.,"Clicking the check box selects the object, clicking again will unselect the object. ",N/A,2,RL.3.3,
CTA bar,,-,"Contains the navigational and action buttons. Action buttons, such as Save, Close, Delete, are on the right. Place the primary button—the one that guides the user toward the default action on the far right.",-,-,3,MO.2 Sub-task dialog,Surface Modal
Add value link,,"The text field is in the focus state, so that lets users enter text directly.",The add link lets users add a new value to the list.,"On clicking the ‘add’ link, system displays input box inline with a label and helper text. The cursor shows in the input box directly. Click check mark to complete the task. Click cross button to cancel the task. The add link button disappears from the top until the inline input box is present.

Add value:
User can add a value A and select and apply it, this value A will be in the list. 

Remove value:
When the user visits the next time and they deselect this value A, then this custom value A won't be there.","If no object is added and the user press check mark, the system shows an error state in the inline edit label.

”Enter values to continue”",5,ML.0 Multi-object list picker,Widget
Delete caution alert message,"The message should not be longer than 140 characters. ",,"In some cases the object or configuration that is being deleted will have dependencies. The type and number of dependencies will be displayed in this warning message. ","In some cases the actual number of things like answers and liveboards effected will be displayed in the warning message. ",,4,DL.0 Delete core pattern,
Dropdown menu,N/A,N/A,This dropdown menu display sort and filter option,"Clicking on the column header will display this dropdown menu.

If the column only have filter function, clicking on the column header will open the filter modal dialog box directly. ",N/A,1,OL.2,
Batch actions,N/A,N/A,"Batch actions are functions that are performed on multiple items within a table.

Actions include but not limited to: Favourite, Share, Edit, Export, Duplicate, Delete etc.","Once the user selects at least one row from the table, the batch action bar appears at the top of the table, presenting the user with actions they can take. 

Actions that are not selectable should not be displayed. (Do not show disabled state actions)

The search bar, filter chips, and global actions are replaced by the bulk action options.

To exit or escape “batch action mode”, the user can deselect all the items.

When entering into ""batch action mode"", forbid all inline actions.
When enter into ""batch action mode"", hide pagination to let users focus on the current selection task.

Support hotkey “command” to do multi-select.",N/A,11,OL.1 Object List Batch actions,Widget
Helper text,Maximum line allowed is 1,Grey in color,"Optional, helps the user understand what action they have to perform or can perform.",N/A,N/A,7,ML.0 Multi-object list picker,
Primary CTA button,"The action word in the CTA should mirror the action in the title. 
e.g  Title: Sign in for access
CTA: Sign in
More on how to write great titles and CTAs for confirmation modals:
https://www.loom.com/share/f8b87cb2213c456baf363a49835bdfa5",-,Clicking the primary action will complete the task and automatically close the modal dialog box.,The primary CTA should NEVER be disabled.,,6,MO.1 Simple dialog,Surface Modal
Primary button,-,-,"Will either have “Done” or “Try it”. Done will Close the modal dialog box.

Try it will take the user to the next flow, closing the modal. ","The primary CTA should NEVER be disabled. 
We should wait to validate any and all inputs when the CTA is clicked and not before.",-,6,MO.4 Splash screen dialog,Surface Modal
,,,,,,4,SEC.0 Section alerts,
