Number,Name,Description,Dynamic Behavior,Default State,Error State,Content Rules
1,Search field,The search field allows the user to search for specific objects in the currently viewed object list.,"Entering a search query will refresh the object list with objects that match the search query term.
 
The objects list will refresh dynamically as the user enters their search query. 

Highlight the search term in the results with respect to search query.

In nested state, the items in the child list will be highlighted in search.

User can select or deselect objects while they are in search mode. 

Select all and clear will select all/clear all the objects visible in the list at the given instance.

Clicking the cross button will close the search.",The search field would be empty.,"If there are no object results for a search query, the list should show an empty state graphic.",N/A
2,Object header,"Contains the column name, the number of objects selected from the list picker.

","At any time the header copy will remain the same, i.e. the column name, the number within the parenthesis will display  the number of objects selected at the given instance.","By default, the object header will display the column name along with the number of objects selected in parentheses.
",N/A,Maximum words allowed: 3
3,Single object checkbox name,This check box allows the user to select an object next to it.,"Clicking the check box selects the object, clicking again will unselect the object. Multiple single object checkboxes can be selected/unselected at the same time.

All the check box can also be selected/unselected if the user clicks the select all/ clear link at the top right of the object list respectively.","By default, the check box will be unselected.",N/A,Maximum number of object items visible by default: 7
4,Show selected toggle,"Switch state between:
(1) Displaying all items and 
(2) Displaying selected items at top with unselected items below separated by divider.","Toggle off: Show all items
Toggle on: Show selected items at top followed by divider then unselected items.

In add value mode when the inline input appears, the show toggle is hidden by the inline input.

Reference: https://www.notion.so/b34d06414bec4cb6b9bf83a9b3225b6b?pvs=21",Turn off toggle. Show all items.,"If no objects are selected then the toggle should be disabled

If user unselects all the object, while the toggle is on. Then since there are no objects selected, the toggle will change automatically  to off.",N/A
5,Add value link,The add link lets users add a new value to the list.,"On clicking the ‘add’ link, system displays input box inline with a label and helper text. The cursor shows in the input box directly. Click check mark to complete the task. Click cross button to cancel the task. The add link button disappears from the top until the inline input box is present.

Add value:
User can add a value A and select and apply it, this value A will be in the list. 

Remove value:
When the user visits the next time and they deselect this value A, then this custom value A won't be there.","The text field is in the focus state, so that lets users enter text directly.","If no object is added and the user press check mark, the system shows an error state in the inline edit label.

”Enter values to continue”",
6,Chevron icon,The chevron icon indicates this row has a deeper level.,Clicking anywhere in its row will open the nested list. Making the chevron arrow face down.,Chevron’s arrow is pointing right (closed state).,N/A,N/A
7,Helper text,"Optional, helps the user understand what action they have to perform or can perform.",N/A,Grey in color,N/A,Maximum line allowed is 1
8,Select all and Clear link,It has options to select all objects and clear all selected objects in from the list.,"On clicking the ‘Select all’ link, all the single object checkboxes next to object items will be selected. 
Header will read: column header (total number of objects)

On clicking the ‘clear’ link, all the single object checkboxes next to object items will deselect. 
Header will read: column name (0)

Select all and clear will select all/clear all the objects visible in the list at the given instance.
eg: If in search mode, only 4 options are shown, the select all will select all 4 options only.
",The all and clear link will be activated and blue in color.,N/A,N/A
9,Add values in bulk link,The add link lets users add multiple new value to the list. It does this by opening a new sub task modal with multi-line text input field.,"On clicking the add values in bulk link, opens a new sub task modal with a multi-line text input widget.

Add value:
User can add a value(s) and select and apply it, these value(s) will be in the list. 

Remove value:
When the user visits the next time and they deselect these value(s), then this custom value(s) won't be there.","The add values in bulk link will be activated and blue in color.

",N/A,N/A
10,Multi-line text input field,"Allows user to enter or edit multi-line string of text for longer, responses. For things like label descriptions, bulk values etc.","By default, all the text input fields are required. When a text input field is optional, show “(optional)” in placeholder.","The text box is in unselected state, with a form label and helper text on top of the box.",On not adding any value and pressing the CTA results in error message. The label and helper text changes to error message and the text input box’s border changes to red color.,"Form labels are typically nouns.

For form labels that require action, start with a verb e.g Select card type.

Form labels should always make it clear which field they should fill in.

Label input fields with short, 1-2 word nouns e.g name, date, area code etc.

Label text should not exceed the width of the input field.

Labels may be truncated but editing for length is preferred.

Avoid overly long labels.

Don’t wrap label text.

Labels don’t need punctuation like periods or colons.

The error message temporarily replaces the field label, so the message must provide instruction on how to fix the error AND include the name of the field to make it clear which field is affected.

State the issue clearly and in a way that does not assign blame.

Provide a remedy when possible.

Provide only the information the user needs to know at this moment."
